,City,Neighborhood,Schools,Kindergartens_And_Dormitories,Non_Formal_Educational_Institutions,Education_Average_Distance,Green_Areas_SQM,Parks_And_Gardens,Green_Areas_Average_Distance,Parks_And_Gardens_Average_Distance,Public_Institutions,Community_Institutions,Religious_Institutions,Public_Building_Average_Distance
66,בת ים,מתחם גן העיר,0.0,0.0,0.0,0.0,67771.0,1.0,215.0,216.0,0.0,1.0,1.0,110.0
67,בת ים,עמידר,7.0,21.0,6.0,184.0,46978.0,7.0,187.0,126.0,12.0,24.0,20.0,91.0
68,בת ים,צפון-מערב,1.0,13.0,1.0,226.0,97911.0,1.0,211.0,171.0,9.0,67.0,7.0,44.0
69,בת ים,רמת הנשיא,15.0,42.0,4.0,146.0,106172.0,5.0,206.0,214.0,15.0,18.0,17.0,123.0
70,בת ים,רמת יוסף,3.0,16.0,2.0,143.0,120646.0,3.0,168.0,176.0,12.0,9.0,6.0,103.0
71,גבעת זאב,אגן האיילות,4.0,29.0,0.0,311.0,71558.0,15.0,544.0,100.0,2.0,0.0,2.0,1388.0
72,גבעת זאב,המכבים,2.0,14.0,5.0,236.0,12743.0,1.0,211.0,182.0,18.0,8.0,3.0,156.0
73,גבעת זאב,הר שמואל,0.0,0.0,0.0,0.0,412.0,4.0,50.0,220.0,0.0,0.0,3.0,1854.0
74,גבעת זאב,משכנות גבעת זאב,0.0,2.0,0.0,0.0,72707.0,2.0,409.0,167.0,0.0,1.0,1.0,157.0
75,גבעת זאב,נווה מנחם,1.0,4.0,0.0,241.0,28178.0,4.0,192.0,161.0,0.0,3.0,4.0,143.0
76,גבעת זאב,קרית יערים,3.0,10.0,1.0,240.0,29326.0,4.0,174.0,208.0,3.0,6.0,6.0,178.0
77,גבעתיים,ארלוזרוב,5.0,22.0,2.0,192.0,82463.0,4.0,185.0,149.0,8.0,12.0,6.0,134.0
78,גבעתיים,בורוכוב,4.0,21.0,3.0,167.0,24682.0,6.0,145.0,139.0,12.0,25.0,1.0,82.0
79,גבעתיים,גבעת קוזלובסקי,0.0,6.0,1.0,0.0,25702.0,,182.0,152.0,2.0,0.0,1.0,143.0
80,גבעתיים,"גבעת רמב""ם",0.0,6.0,0.0,0.0,172672.0,4.0,178.0,146.0,12.0,35.0,5.0,68.0
81,גבעתיים,"הל""ה",1.0,3.0,0.0,205.0,53038.0,1.0,183.0,144.0,2.0,43.0,6.0,53.0
82,גבעתיים,סיטי,0.0,0.0,0.0,0.0,17334.0,,356.0,290.0,1.0,2.0,0.0,109.0
83,גבעתיים,פועלי הרכבת,1.0,4.0,0.0,273.0,19728.0,2.0,262.0,116.0,0.0,25.0,3.0,48.0
84,גבעתיים,קריית יוסף,0.0,2.0,0.0,0.0,20143.0,,162.0,151.0,0.0,12.0,2.0,53.0
85,גבעתיים,שטח 9,0.0,2.0,0.0,0.0,167718.0,3.0,177.0,137.0,3.0,2.0,0.0,130.0
86,גבעתיים,שיכון חברת חשמל,2.0,7.0,0.0,195.0,145837.0,4.0,168.0,137.0,2.0,5.0,5.0,106.0
87,גבעתיים,שינקין,0.0,3.0,0.0,0.0,46563.0,3.0,173.0,145.0,6.0,68.0,5.0,36.0
88,גבעתיים,תל גנים,3.0,15.0,5.0,250.0,145837.0,4.0,168.0,137.0,11.0,24.0,6.0,126.0
89,הוד השרון,גיל עמל,2.0,10.0,1.0,338.0,22226.0,3.0,316.0,302.0,3.0,6.0,8.0,217.0
90,הוד השרון,הדר,4.0,13.0,3.0,452.0,50753.0,3.0,244.0,311.0,13.0,42.0,8.0,182.0
91,הוד השרון,מגדיאל,5.0,17.0,5.0,235.0,22663.0,4.0,289.0,349.0,16.0,32.0,6.0,202.0
92,הוד השרון,מתחם 1200,2.0,18.0,0.0,199.0,13445.0,,246.0,485.0,0.0,1.0,0.0,212.0
93,הוד השרון,מתחם 200,0.0,0.0,0.0,0.0,13445.0,,333.0,271.0,0.0,0.0,0.0,250.0
94,הוד השרון,נווה הדר,0.0,3.0,1.0,0.0,,,246.0,587.0,2.0,3.0,2.0,320.0
95,הוד השרון,נווה נאמן,2.0,3.0,1.0,348.0,2187.0,1.0,198.0,560.0,3.0,12.0,9.0,110.0
96,הוד השרון,רמות מנחם,2.0,8.0,0.0,459.0,,,246.0,587.0,2.0,3.0,0.0,241.0
97,הוד השרון,רמתיים,1.0,7.0,1.0,294.0,50753.0,3.0,244.0,311.0,2.0,8.0,0.0,156.0
98,הוד השרון,שרת,2.0,12.0,0.0,291.0,64198.0,5.0,257.0,314.0,13.0,45.0,5.0,122.0
99,הרצלייה,גורדון,0.0,0.0,0.0,0.0,22476.0,,217.0,445.0,0.0,0.0,1.0,174.0
100,הרצלייה,"גן רש""ל",1.0,3.0,1.0,423.0,10559.0,,185.0,335.0,3.0,5.0,3.0,118.0
101,הרצלייה,גני הרצליה,1.0,7.0,0.0,190.0,,,152.0,497.0,3.0,2.0,0.0,134.0
102,הרצלייה,דרום,0.0,1.0,0.0,0.0,8263.0,,162.0,378.0,0.0,3.0,2.0,33.0
103,הרצלייה,הרצליה ב,1.0,6.0,1.0,523.0,56627.0,1.0,222.0,385.0,4.0,9.0,3.0,167.0
104,הרצלייה,הרצליה הירוקה,1.0,26.0,1.0,316.0,24772.0,5.0,222.0,384.0,4.0,4.0,2.0,148.0
105,הרצלייה,הרצליה הצעירה,2.0,9.0,1.0,268.0,19170.0,2.0,176.0,438.0,6.0,13.0,1.0,120.0
106,הרצלייה,הרצליה פיתוח,2.0,9.0,3.0,670.0,56627.0,6.0,231.0,465.0,16.0,38.0,3.0,217.0
107,הרצלייה,וייצמן,2.0,12.0,2.0,171.0,10907.0,,253.0,402.0,4.0,9.0,2.0,94.0
108,הרצלייה,יד התשעה,3.0,5.0,2.0,184.0,13865.0,,201.0,378.0,4.0,11.0,8.0,59.0
109,הרצלייה,מרכז העיר,11.0,35.0,8.0,291.0,33035.0,2.0,216.0,406.0,64.0,141.0,11.0,92.0
110,הרצלייה,נווה אמירים,0.0,5.0,0.0,0.0,5213.0,,169.0,412.0,0.0,1.0,0.0,113.0
111,הרצלייה,נווה ישראל,2.0,8.0,2.0,271.0,19170.0,,123.0,403.0,4.0,10.0,8.0,119.0
112,הרצלייה,נווה עמל,4.0,16.0,4.0,298.0,24772.0,1.0,228.0,414.0,6.0,24.0,21.0,183.0
113,הרצלייה,נוף ים,0.0,0.0,0.0,0.0,52425.0,,255.0,507.0,0.0,6.0,2.0,140.0
114,הרצלייה,נחלת עדה,0.0,0.0,4.0,0.0,,,137.0,,4.0,2.0,2.0,153.0
115,הרצלייה,צמרות,0.0,0.0,1.0,0.0,5213.0,,155.0,412.0,2.0,6.0,0.0,89.0
116,נס ציונה,מרכז מזרחי,5.0,13.0,8.0,234.0,85171.0,7.0,348.0,208.0,17.0,44.0,17.0,108.0
117,נס ציונה,ארגמן,1.0,11.0,0.0,655.0,22464.0,1.0,233.0,334.0,0.0,3.0,0.0,166.0
118,נס ציונה,גבעת האירוסים,0.0,3.0,0.0,0.0,22464.0,,215.0,360.0,0.0,0.0,0.0,153.0
119,נס ציונה,גבעת הצבר,0.0,2.0,0.0,0.0,79901.0,1.0,349.0,127.0,0.0,1.0,2.0,110.0
120,נס ציונה,גבעת התור,0.0,1.0,0.0,0.0,15280.0,,189.0,313.0,0.0,1.0,0.0,184.0
121,נס ציונה,גבעת מיכאל,0.0,0.0,0.0,0.0,15280.0,,210.0,285.0,0.0,0.0,0.0,234.0
122,נס ציונה,גבעת נוף,0.0,1.0,0.0,0.0,59835.0,1.0,452.0,150.0,0.0,2.0,0.0,92.0
123,נס ציונה,גני איריס,1.0,0.0,0.0,534.0,15280.0,,158.0,363.0,0.0,1.0,0.0,240.0
124,נס ציונה,גני הדר,0.0,0.0,0.0,0.0,61794.0,,436.0,179.0,0.0,0.0,0.0,106.0
125,נס ציונה,הדרי סמל,0.0,9.0,0.0,0.0,37744.0,,192.0,299.0,1.0,1.0,1.0,121.0
126,נס ציונה,וואלי,1.0,6.0,0.0,344.0,,,152.0,843.0,0.0,1.0,1.0,172.0
127,נס ציונה,וילה דורי,0.0,4.0,0.0,0.0,6150.0,1.0,441.0,157.0,0.0,0.0,1.0,243.0
128,נס ציונה,טירת שלום,1.0,3.0,2.0,406.0,,,152.0,843.0,4.0,4.0,5.0,175.0
129,נס ציונה,יד אליעזר,0.0,3.0,1.0,0.0,69024.0,2.0,381.0,150.0,2.0,3.0,3.0,99.0
130,נס ציונה,כפר אהרון,0.0,0.0,0.0,0.0,,,266.0,903.0,0.0,0.0,0.0,297.0
131,נס ציונה,כפר אהרון הישנה,0.0,6.0,0.0,0.0,,,152.0,843.0,0.0,0.0,0.0,475.0
132,נס ציונה,לב המושבה,1.0,4.0,0.0,186.0,53686.0,,461.0,287.0,0.0,0.0,0.0,209.0
133,נס ציונה,מרכז מזרחי,5.0,13.0,8.0,234.0,85171.0,7.0,348.0,208.0,17.0,44.0,17.0,108.0
134,נס ציונה,מרכז מערבי,1.0,6.0,2.0,205.0,54817.0,1.0,282.0,287.0,4.0,23.0,3.0,65.0
135,נס ציונה,נווה ניר,1.0,4.0,1.0,244.0,70097.0,,255.0,273.0,7.0,6.0,0.0,114.0
136,נס ציונה,סביוני הפארק,0.0,2.0,0.0,0.0,71792.0,1.0,316.0,155.0,0.0,0.0,0.0,175.0
137,נס ציונה,סביוני נצר סירני,0.0,11.0,0.0,0.0,2010.0,,405.0,254.0,2.0,1.0,0.0,129.0
138,נס ציונה,עמידר,0.0,0.0,1.0,0.0,1131.0,,224.0,330.0,1.0,1.0,1.0,129.0
139,נס ציונה,פסגת סלע,0.0,0.0,0.0,0.0,,,294.0,426.0,0.0,0.0,0.0,297.0
140,נס ציונה,רמת בן צבי,1.0,5.0,2.0,249.0,15280.0,1.0,195.0,311.0,5.0,1.0,2.0,135.0
141,נס ציונה,רמת סמל,0.0,4.0,0.0,0.0,79843.0,,255.0,233.0,0.0,0.0,0.0,196.0
142,נס ציונה,שמורת מליבו,0.0,4.0,1.0,0.0,410.0,1.0,239.0,308.0,4.0,0.0,0.0,540.0
143,רמת השרון,אלון,2.0,6.0,3.0,209.0,31765.0,,130.0,337.0,6.0,17.0,2.0,112.0
144,רמת השרון,גולן,0.0,8.0,1.0,0.0,34497.0,,145.0,390.0,7.0,27.0,0.0,124.0
145,רמת השרון,הדר,5.0,16.0,2.0,232.0,46477.0,7.0,163.0,329.0,13.0,61.0,3.0,87.0
146,רמת השרון,מורשה,2.0,13.0,6.0,360.0,32438.0,6.0,208.0,236.0,15.0,22.0,12.0,127.0
147,רמת השרון,מיתחם גלילות,0.0,0.0,0.0,0.0,147121.0,,129.0,278.0,0.0,0.0,0.0,305.0
148,רמת השרון,נווה גן,1.0,8.0,0.0,246.0,38272.0,1.0,226.0,212.0,0.0,5.0,0.0,182.0
149,רמת השרון,נווה מגן,2.0,10.0,3.0,261.0,58990.0,3.0,206.0,254.0,8.0,14.0,8.0,111.0
150,רמת השרון,נווה רום,1.0,3.0,3.0,355.0,7945.0,1.0,150.0,435.0,3.0,0.0,1.0,387.0
151,רמת השרון,נווה רסקו,2.0,5.0,3.0,190.0,41264.0,,200.0,258.0,4.0,8.0,1.0,119.0
